City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
244,ust-kut,12,RU,1536089153,81,56.78,105.75,39.25,3.96
245,ucluelet,40,CA,1536084000,77,48.94,-125.55,60.8,4.7
246,acajutla,20,SV,1536087000,63,13.59,-89.83,91.4,9.17
247,acapulco,75,MX,1536086640,79,16.86,-99.88,86.0,4.7
248,bubaque,92,GW,1536088686,100,11.28,-15.83,79.84,18.28
249,naze,92,NG,1536089154,98,5.43,7.07,73.9,3.96
250,vinh,0,VN,1536089154,86,18.67,105.69,77.41,4.29
251,saint-junien,0,FR,1536087600,52,45.89,0.9,73.4,8.05
252,carutapera,12,BR,1536089155,69,-1.2,-46.02,86.68,12.46
253,santa maria,40,BR,1536084000,59,-29.69,-53.81,64.4,5.82
254,boffa,76,GN,1536089156,89,10.18,-14.04,78.49,8.88
255,padang,64,ID,1536088663,100,-0.92,100.36,78.31,6.64
256,saint-philippe,1,CA,1536086100,44,45.36,-73.48,78.8,3.36
257,port blair,92,IN,1536088713,98,11.67,92.75,81.91,20.51
258,tura,56,IN,1536089156,91,25.52,90.21,78.58,4.74
259,aswan,0,EG,1536084000,12,24.09,32.9,105.8,6.93
260,sao filipe,76,CV,1536088709,94,14.9,-24.5,79.84,15.03
261,trairi,0,BR,1536089157,100,-3.28,-39.27,79.03,21.07
262,bowen,75,AU,1536084000,100,-20.01,148.25,64.4,5.82
263,bethel,90,US,1536087180,83,60.79,-161.76,48.92,6.93
264,flin flon,90,CA,1536084000,71,54.77,-101.88,50.0,17.22
265,aksarka,32,RU,1536088615,76,66.56,67.8,56.44,12.46
266,morogoro,40,TZ,1536087600,78,-6.82,37.67,73.4,5.82
267,tete,0,MZ,1536089158,33,-16.16,33.59,83.17,7.43
268,aasiaat,8,GL,1536089158,96,68.71,-52.87,41.41,5.19
269,iskateley,100,RU,1536088630,81,67.68,53.15,59.41,12.01
270,bahir dar,88,ET,1536089158,96,11.59,37.39,57.61,3.06
271,buraydah,40,SA,1536084000,23,26.33,43.97,98.6,2.24
272,ambon,0,FR,1536085800,53,47.55,-2.56,71.6,8.05
273,constitucion,75,MX,1536086700,53,23.99,-104.67,73.4,2.24
274,port-cartier,40,CA,1536084000,37,50.03,-66.88,69.8,21.92
275,thinadhoo,12,MV,1536088634,100,0.53,72.93,83.53,4.52
276,namibe,92,AO,1536089159,97,-15.19,12.15,65.44,12.12
277,gravelbourg,0,CA,1536089159,55,49.88,-106.56,55.81,9.44
278,tuatapere,0,NZ,1536088701,100,-46.13,167.69,39.16,1.95
279,praia,0,BR,1536084000,28,-20.25,-43.81,80.6,9.17
280,severo-kurilsk,20,RU,1536088600,100,50.68,156.12,47.35,5.64
281,souillac,0,FR,1536085800,44,45.6,-0.6,77.0,10.29
282,jalu,0,LY,1536089160,29,29.03,21.55,88.75,7.43
283,gat,75,SN,1536084000,74,14.69,-16.54,87.8,12.68
284,sena madureira,8,BR,1536089160,31,-9.07,-68.66,86.68,6.42
285,chuy,0,UY,1536088622,95,-33.69,-53.46,60.85,8.77
286,gold coast,75,AU,1536087600,76,-28.0,153.41,57.2,10.29
287,inhambane,40,MZ,1536084000,94,-23.87,35.38,77.0,9.17
288,hambantota,32,LK,1536088649,95,6.12,81.12,81.1,11.45
289,le mars,90,US,1536088500,100,42.79,-96.17,71.06,9.17
290,lakes entrance,0,AU,1536088942,94,-37.88,147.99,46.63,7.76
291,khatima,64,IN,1536089161,95,28.92,79.97,77.41,2.73
292,hovd,75,NO,1536087000,93,63.83,10.7,53.6,3.36
293,chapleau,90,CA,1536087300,88,47.85,-83.4,62.6,6.93
294,monrovia,92,LR,1536089161,100,6.33,-10.8,74.08,4.18
295,le port,24,FR,1536089162,88,42.87,1.37,57.61,1.28
296,bandarbeyla,12,SO,1536088698,82,9.49,50.81,72.1,23.87
297,nehe,80,CN,1536089162,98,48.48,124.88,59.5,11.45
298,kavieng,56,PG,1536088660,100,-2.57,150.8,82.18,6.42
299,methoni,0,GR,1536087000,61,36.82,21.7,77.0,6.93
300,qingdao,0,CN,1536084000,82,36.09,120.35,68.0,2.24
301,nome,1,US,1536086100,69,30.04,-94.42,86.18,10.29
302,mandera,20,ET,1536089163,41,3.94,41.86,86.68,12.8
303,guerrero negro,0,MX,1536088607,58,27.97,-114.04,80.38,5.41
304,brea,75,US,1536087840,64,33.92,-117.89,82.94,4.7
305,esperance,20,TT,1536087600,70,10.24,-61.45,87.8,9.17
306,talnakh,92,RU,1536088607,94,69.49,88.39,43.03,22.75
307,morwa,8,IN,1536089164,95,22.9,73.84,74.17,9.44
308,melukote,44,IN,1536089164,84,12.66,76.65,70.03,7.99
309,marzuq,0,YE,1536088623,45,14.4,46.47,71.56,3.96
310,lompoc,90,US,1536087840,78,34.64,-120.46,73.4,5.82
311,carbonia,0,IT,1536087000,73,39.17,8.53,78.8,6.93
312,samut sakhon,75,TH,1536087600,83,13.55,100.27,78.8,4.7
313,scottsbluff,75,US,1536088320,58,41.87,-103.67,75.92,10.29
314,sabha,0,LY,1536088703,17,27.03,14.43,90.28,11.56
315,uyuni,12,BO,1536089165,24,-20.46,-66.82,60.22,3.96
316,dingle,92,PH,1536088354,100,11.0,122.67,74.08,8.77
317,saskylakh,76,RU,1536088604,77,71.97,114.09,41.86,21.41
318,kargopol,24,RU,1536089165,88,61.51,38.95,58.96,7.2
319,dzerzhinsk,20,RU,1536085800,82,56.24,43.46,62.6,6.71
320,bintulu,75,MY,1536087600,100,3.17,113.03,75.2,2.24
321,fortuna,20,ES,1536087600,83,38.18,-1.13,84.2,8.05
322,omboue,0,GA,1536089166,100,-1.57,9.26,75.88,13.24
323,gamba,48,CN,1536088642,82,28.28,88.52,29.8,2.39
324,abeche,0,TD,1536089166,71,13.83,20.83,79.3,4.18
325,srednekolymsk,0,RU,1536088696,95,67.46,153.71,34.93,2.39
326,conde,0,BR,1536089166,65,-11.81,-37.61,83.08,11.79
327,tiznit,0,MA,1536089167,82,29.7,-9.73,73.63,5.41
328,paracuru,0,BR,1536087600,69,-3.41,-39.03,82.4,14.99
329,pak phanang,92,TH,1536089167,100,8.35,100.2,79.03,8.32
330,lixourion,0,GR,1536087000,65,38.2,20.43,80.6,16.11
331,mitsamiouli,20,KM,1536084000,78,-11.38,43.28,77.0,4.7
332,cilegon,40,ID,1536087600,65,-6.02,106.05,78.8,4.7
333,grand gaube,40,MU,1536084000,78,-20.01,57.66,71.6,13.87
334,palmer,1,US,1536087360,77,61.6,-149.11,59.0,2.73
335,turayf,0,SA,1536084000,23,31.68,38.65,87.8,4.7
336,sorland,40,NO,1536085200,87,67.67,12.69,51.8,3.36
337,baruun-urt,64,MN,1536089169,76,46.68,113.28,49.06,7.2
338,amahai,68,ID,1536089169,100,-3.31,129.0,77.41,1.05
339,jaboatao,75,BR,1536087600,69,-8.18,-35.0,78.8,8.05
340,batemans bay,48,AU,1536089169,100,-35.71,150.18,48.88,3.06
341,sorong,44,ID,1536089170,100,-0.86,131.25,77.86,6.87
342,vestmannaeyjar,40,IS,1536084000,81,63.44,-20.27,48.2,17.22
343,aklavik,40,CA,1536086220,69,68.22,-135.01,37.4,3.36
344,bone,0,ID,1536089170,91,-10.32,123.57,77.68,10.78
345,husavik,0,CA,1536088635,76,50.56,-96.99,66.43,16.49
346,mana,40,RS,1536087600,100,43.52,20.24,62.6,2.24
347,san pedro,0,AR,1536089172,55,-33.68,-59.66,69.13,11.56
348,sokolo,32,ML,1536089172,70,14.74,-6.12,83.98,4.74
349,dong xoai,48,VN,1536089172,96,11.53,106.92,72.46,4.41
350,maceio,40,BR,1536087600,65,-9.67,-35.74,78.8,16.11
351,mandalgovi,44,MN,1536089172,66,45.76,106.27,54.46,5.53
352,karakol,0,KG,1536089173,79,42.49,78.39,35.2,3.29
353,grindavik,75,IS,1536087600,93,63.84,-22.43,48.2,6.93
354,komsomolskiy,92,RU,1536088644,88,67.55,63.78,55.36,7.87
355,rawson,32,AR,1536088599,27,-43.3,-65.11,71.11,11.9
356,port moresby,90,PG,1536087600,88,-9.47,147.16,77.0,5.82
357,beyneu,0,KZ,1536089173,31,45.32,55.19,63.37,9.1
358,honningsvag,20,NO,1536087000,87,70.98,25.97,48.2,1.12
359,kota kinabalu,75,MY,1536087600,83,5.98,116.07,77.0,3.36
360,brewster,75,US,1536088500,61,41.76,-70.08,84.92,9.17
361,saint pete beach,20,US,1536088500,74,27.73,-82.74,89.96,5.82
362,santa lucia,20,IT,1536083700,74,39.93,9.66,80.6,4.7
363,longyearbyen,75,NO,1536087000,80,78.22,15.63,41.0,17.22
364,aksu,0,KZ,1536085800,93,52.04,76.93,53.6,4.47
365,ho chi minh city,75,VN,1536087600,94,10.78,106.7,78.8,6.93
366,nantucket,90,US,1536086100,61,41.28,-70.1,84.92,9.17
367,bellegarde-sur-valserine,0,FR,1536087600,56,46.11,5.83,68.0,2.24
368,tateyama,100,JP,1536089176,100,36.66,137.31,64.27,2.39
369,san andres,76,PH,1536089176,100,13.32,122.68,79.66,12.46
370,suntar,0,RU,1536089176,85,62.16,117.65,32.5,2.51
